Name,Authors,Publication Info,Year,URL
Measuring service quality based on customer emotion: An explainable AI approach,"Y Guo, Y Li, D Liu, SX Xu",Decision Support Systems - Elsevier,2024,
Explainable artificial intelligence for human decision support system in the medical domain,"S Knapič, A Malhi, R Saluja, K Främling",Machine Learning and … - mdpi.com,2021,https://www.mdpi.com/2504-4990/3/3/37/pdf
Expert level evaluations for explainable AI (XAI) methods in the medical domain,"SM Muddamsetty, MNS Jahromi…",… Conference on Pattern … - Springer,2021,https://vbn.aau.dk/files/390031899/ICPR_EDL_AI_Workshop_2020_Paper_ID_39_camera_ready_updated.pdf
Aligning artificial neural networks and ontologies towards explainable AI,"M de Sousa Ribeiro, J Leite",… AAAI Conference on Artificial Intelligence - ojs.aaai.org,2021,https://ojs.aaai.org/index.php/AAAI/article/view/16626/16433
EUCA: The end-user-centered explainable AI framework,"W Jin, J Fan, D Gromala, P Pasquier…",arXiv preprint arXiv … - arxiv.org,2021,https://arxiv.org/pdf/2102.02437
Explainable AI for data-driven feedback and intelligent action recommendations to support students self-regulation,"M Afzaal, J Nouri, A Zia, P Papapetrou…",… in Artificial Intelligence - frontiersin.org,2021,https://www.frontiersin.org/articles/10.3389/frai.2021.723447/pdf
Explainable Artificial Intelligence (XAI): Adoption and Advocacy,M Ridley,Information technology and libraries - ejournals.bc.edu,2022,https://ejournals.bc.edu/index.php/ital/article/download/14683/11243/
Explainable artificial intelligence for 6G: Improving trust between human and machine,W Guo,IEEE Communications Magazine - ieeexplore.ieee.org,2020,https://arxiv.org/pdf/1911.04542
Getting playful with explainable AI: Games with a purpose to improve human understanding of AI,"LB Fulton, JY Lee, Q Wang, Z Yuan, J Hammer…",Extended Abstracts of … - dl.acm.org,2020,
Explainable AI approach towards toxic comment classification,"A Mahajan, D Shah, G Jafar",Emerging Technologies in Data Mining and … - Springer,2021,https://easychair.org/publications/preprint_download/L1xh
Explain to whom? Putting the user in the center of explainable AI,A Kirsch,… of the Italian Association for Artificial Intelligence (AI … - hal.science,2017,https://hal.science/hal-01845135/document
“Let me explain!”: exploring the potential of virtual agents in explainable AI interaction design,"K Weitz, D Schiller, R Schlagowski, T Huber…",Journal on Multimodal … - Springer,2021,https://link.springer.com/content/pdf/10.1007/s12193-020-00332-0.pdf
