Name,Authors,Publication Info,Year,URL
The Cambridge handbook of responsible artificial intelligence: interdisciplinary perspectives,Unknown,Unknown,Unknown,
The use of responsible artificial intelligence techniques in the context of loan approval processes,"E Purificato, F Lorenzo, F Fallucchi…",International Journal of … - Taylor & Francis,2023,https://erasmopurif.com/assets/pdf/publications/2022_IJHCI.pdf
Responsible AI: Gender bias assessment in emotion recognition,"A Domnich, G Anbarjafari",arXiv preprint arXiv:2103.11436 - arxiv.org,2021,https://arxiv.org/pdf/2103.11436
Causal learning for socially responsible AI,"L Cheng, A Mosallanezhad, P Sheth, H Liu",arXiv preprint arXiv … - arxiv.org,2021,https://arxiv.org/pdf/2104.12278
RAISE: leveraging responsible AI for service excellence,"L Alkire, A Bilgihan, M Bui, AJ Buoye…",Journal of Service … - emerald.com,2024,https://cba.lmu.edu/media/lmucollegeofbusinessadministration/documents/RAISE_2024.pdf
Is there a place for responsible artificial intelligence in pandemics? A tale of two countries,"R El-Haddadeh, A Fadlalla, NM Hindi",Information Systems Frontiers - Springer,2023,https://link.springer.com/article/10.1007/s10796-021-10140-w
The application of the principles of responsible AI on social media marketing for digital health,"R Liu, S Gupta, P Patel",Information Systems Frontiers - Springer,2023,https://link.springer.com/article/10.1007/s10796-021-10191-z
Advancing the Understanding of the Role of Responsible AI in the Continued Use of IoMT in Healthcare,"F Al-Dhaen, J Hou, NP Rana, V Weerakkody",Information Systems … - Springer,2023,https://link.springer.com/article/10.1007/s10796-021-10193-x
A Rapid Review of Responsible AI frameworks: How to guide the development of ethical AI,"VS Barletta, D Caivano, D Gigante…",Proceedings of the 27th … - dl.acm.org,2023,https://arxiv.org/pdf/2306.05003
Macro Ethics Principles for Responsible AI Systems: Taxonomy and Directions,"J Woodgate, N Ajmeri",ACM Computing Surveys - dl.acm.org,2024,https://dl.acm.org/doi/pdf/10.1145/3672394
A Framework for Responsible AI Education,"C Bentley, C Aicardi, S Poveda…",Available at … - papers.ssrn.com,2023,
Strategies for Increasing Corporate Responsible AI Prioritization,"A Wang, T Datta, JP Dickerson",arXiv preprint arXiv:2405.03855 - arxiv.org,2024,https://arxiv.org/pdf/2405.03855
Aspects and views on responsible artificial intelligence,"B Brumen, S Göllner, M Tropmann-Frick",International Conference on … - Springer,2022,
Is explainable AI responsible AI?,I Taylor,AI & SOCIETY - Springer,2024,https://link.springer.com/article/10.1007/s00146-024-01939-7
Responsible AI challenges in end-to-end machine learning,"SE Whang, KH Tae, Y Roh, G Heo",arXiv preprint arXiv:2101.05967 - arxiv.org,2021,https://arxiv.org/pdf/2101.05967
Human-Centered Responsible Artificial Intelligence: Current & Future Trends,"M Tahaei, M Constantinides, D Quercia…",Extended Abstracts of … - dl.acm.org,2023,https://arxiv.org/pdf/2302.08157
Five Ps: Leverage zones towards responsible AI,"E Nabavi, C Browne",arXiv preprint arXiv:2205.01070 - arxiv.org,2022,https://arxiv.org/pdf/2205.01070
"Collect, measure, repeat: Reliability factors for responsible AI data collection","O Inel, T Draws, L Aroyo",Proceedings of the AAAI Conference on … - ojs.aaai.org,2023,https://ojs.aaai.org/index.php/HCOMP/article/download/27547/27320
“It is currently hodgepodge”: Examining AI/ML Practitioners' Challenges during Co-production of Responsible AI Values,"RA Varanasi, N Goyal",Proceedings of the 2023 CHI Conference on … - dl.acm.org,2023,https://dl.acm.org/doi/pdf/10.1145/3544548.3580903
